clientID,visitDate,channel,conversion,revenue
10006173,2/4/21,organic,1,197.7
10001777,7/4/21,organic,1,237.7
10001616,24/4/21,organic,1,720.65
10006205,10/5/21,organic,1,1932.45
10006186,17/4/21,organic,1,867.7
10006164,3/4/21,organic,1,717.7
10006205,9/5/21,googlePaidSearch,1,1217.7
10016197,30/4/21,W+App,1,1623.6
10016222,29/5/21,organic,1,3077.2
10016152,9/3/21,direct,1,217.7
10016202,6/5/21,organic,1,317.7
10016208,13/5/21,organic,1,307.7
10026147,4/3/21,organic,1,267.7
10026147,8/5/21,organic,1,367.7
10026182,12/4/21,organic,1,567.7
10026195,28/4/21,organic,1,367.7
10026205,9/5/21,googlePaidSearch,1,552.7
10021615,6/3/21,organic,1,495.65
10026148,4/3/21,organic,1,1632.45
10026191,23/4/21,organic,1,746.55
10026099,10/3/21,organic,1,1361.95
10026205,9/5/21,googlePaidSearch,1,1217.7
10036187,18/4/21,googlePaidSearch,1,1117.7
10036181,11/4/21,organic,1,567.7
10036178,8/4/21,organic,1,367.7
10031783,8/4/21,organic,1,617.7
10031621,15/5/21,organic,1,567.7
10036154,11/3/21,organic,1,367.7
10036151,8/3/21,organic,1,667.7
10036201,4/5/21,referral,1,1070.65
10036075,30/4/21,googlePaidSearch,1,1572.45
10046223,31/5/21,organic,1,247.7
10046174,29/5/21,organic,1,217.7
10046204,9/5/21,googlePaidSearch,1,417.7
10046207,31/5/21,organic,1,967.7
10046196,28/4/21,organic,1,1117.7
10046203,7/5/21,organic,1,617.7
10046183,17/4/21,W+App,1,617.7
10046195,28/4/21,googlePaidSearch,1,667.7
10056182,15/4/21,organic,1,970.65
10056184,19/4/21,organic,1,1338.35
10056184,30/4/21,googlePaidSearch,1,1750.15
10056184,11/5/21,organic,1,1082.45
10056176,5/4/21,organic,1,367.7
10055879,4/3/21,organic,1,717.7
10056163,22/3/21,organic,1,1217.7
10056202,6/5/21,googlePaidSearch,1,1117.7
10056174,3/4/21,organic,1,920.65
10066191,23/4/21,organic,1,2182.45
10066146,2/3/21,organic,1,867.7
10065349,10/3/21,organic,1,717.7
10076203,8/5/21,organic,1,1826.55
10076172,1/4/21,organic,1,4261.95
10076191,23/4/21,organic,1,1117.7
10076203,7/5/21,organic,1,577.7
10076012,23/3/21,organic,1,923.6
10071621,15/5/21,organic,1,3147.2
10076159,17/3/21,organic,1,617.7
10076184,15/4/21,googlePaidSearch,1,617.7
10084754,3/3/21,organic,1,537.7
10081619,22/4/21,organic,1,420.65
10086153,10/3/21,organic,1,1682.45
10086153,11/3/21,organic,1,1170.65
10086153,12/3/21,organic,1,2132.45
10086201,5/5/21,organic,1,717.7
10086149,5/3/21,organic,1,1187.7
10086189,21/4/21,direct,1,990.65
10081617,30/3/21,organic,1,1138.35
10086213,25/5/21,organic,1,2747.2
10081616,18/3/21,organic,1,1057.7
10091592,17/3/21,organic,1,417.7
10096176,12/4/21,organic,1,1067.7
10096205,9/5/21,googlePaidSearch,1,317.7
10106179,10/4/21,direct,1,467.7
10106164,22/3/21,organic,1,1320.65
10106199,2/5/21,organic,1,1682.45
10106072,17/5/21,organic,1,867.7
10106171,31/3/21,organic,1,820.65
10106162,21/3/21,organic,1,1682.45
10106207,11/5/21,organic,1,867.7
10106139,10/3/21,organic,1,567.7
10106139,30/3/21,organic,1,876.55
10106139,6/4/21,organic,1,3161.95
10106139,22/4/21,googlePaidSearch,1,717.7
10106202,6/5/21,googlePaidSearch,1,1117.7
10106186,18/4/21,organic,1,567.7
10116198,1/5/21,organic,1,570.65
10116073,16/3/21,organic,1,1582.45
10111616,18/3/21,direct,1,467.7
10116206,10/5/21,organic,1,1117.7
10116163,21/3/21,organic,1,582.7
10126163,22/3/21,organic,1,392.7
10126191,23/4/21,organic,1,379.7
10126148,4/3/21,organic,1,627.7
10126203,7/5/21,googlePaidSearch,1,540.65
10126154,11/3/21,organic,1,1482.45
10136185,16/4/21,organic,1,587.7
10136193,28/4/21,organic,1,567.7
10131614,9/3/21,organic,1,1932.45
